SUMMARY
Section,Period,Cycle
Cash on Hand at Beginning,189239.5900,136658.5400
RECEIPTS,0.0000,0.0000
Aggregated Contributions from Individuals,9249.4700,32685.8200
Contributions from Individuals,176003.2400,481773.4800
Political Party Committees,0.0000,0.0000
Other Political Committees (such as PACs),26576.0000,67776.0000
Loan Proceeds,0.0000,0.0000
Refunds/Reimbursements To the Committee,9758.4600,10156.4200
Interest on Bank Accounts,0.0000,0.0000
Contributions from Not-For-Profit Organizations,0.0000,0.0000
Outside Sources of Income,0.0000,0.0000
Legal Expense Fund - Other Sources,0.0000,0.0000
Exempt Purchase Price Sales,0.0000,0.0000
Total Receipts,221587.1700,592391.7200
EXPENDITURES,0.0000,0.0000
Operating Expenditures,135911.4200,332048.9100
Contributions to Candidates/Political Committees,150600.0000,251650.0000
Coordinated Party Expenditures,0.0000,0.0000
Aggregated Non-Media Expenditures,15.7600,470.9500
Loan Repayments,0.0000,0.0000
Refunds/Reimbursements From the Committee,2470.9400,19080.2600
In-Kind Contributions,2900.5900,6872.0900
Total Expenditures,291898.7100,610122.2100
Cash on Hand at End of Reporting Period,118928.0500,118928.0500
ADDITIONAL INFORMATION,0.0000,0.0000
Non-Monetary Gifts Given to Other Committees,0.0000,0.0000
Outstanding Loans (incl. ones from other campaigns),0.0000,0.0000
Debts and Obligations owed BY the Committee,0.0000,0.0000
Debts and Obligations owed TO the Committee,0.0000,0.0000
Account Transfers Within the Committee,100000.0000,0.0000
Administrative Support,0.0000,0.0000
Forgiven Loans,0.0000,0.0000
48-Hour Notice Reports Sum,0.0000,0.0000
Contributions to be Refunded,0.0000,0.0000

